case_id,category,text,redacted_text,expected_canonical,baseline_canonical,post_processed_canonical,baseline_matched,post_processed_matched
V15R163,short-address-raw-full,Gang Asia Afrika nomor 40,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R164,short-address-raw-full,Gang Jenderal Achmad Yani Nomor 41,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R165,short-address-raw-full,Gang Siliwangi nomor 59,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R166,short-address-raw-full,Jalan Kyai Haji Wahid Hasyim nomor 94,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R167,short-address-raw-full,Gang Laksamana Malahayati nomor 24,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R168,short-address-raw-full,jalan Pahlawan Nomor 87,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R169,short-address-raw-full,jalan Gajah Mada nomor 26,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R170,short-address-raw-full,jalan Laksamana Malahayati Nomor 76,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R171,short-address-raw-full,jalan Urip Sumoharjo Nomor 54,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R172,short-address-raw-full,jalan Setiabudi Nomor 86,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R173,short-address-raw-full,Jalan Gajah Mada nomor 83,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R174,short-address-raw-full,Jalan Kapten Pierre Tendean Nomor 18,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R175,short-address-raw-full,Gang Gajah Mada nomor 70,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R176,short-address-raw-full,Jalan Jenderal Gatot Subroto nomor 8,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R177,short-address-raw-full,Jalan Jenderal Achmad Yani nomor 5,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R178,short-address-raw-full,Jalan Raden Saleh Nomor 54,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R179,short-address-raw-full,Jalan Malioboro Nomor 90,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R180,short-address-raw-full,Jalan Mayor Jenderal DI Panjaitan Nomor 94,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R181,short-address-block-unit,Cluster Kebon Sirih blok IA no. 84,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R182,short-address-block-unit,Gang U. Sumoharjo nomor 59,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R183,short-address-block-unit,Perumahan Jend. Gatot Subroto blk. VIII1 Nomor 64,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R184,short-address-block-unit,"Unit 19A, Apartemen Laks. Malahayati","Unit [LOC1], [LOC2]",[token-ent],"Unit [token-ent], [token-ent]",Unit [token-ent],false,false
V15R185,short-address-block-unit,Kavling Senopati no. 43,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R186,short-address-block-unit,"Blk. IV2 no 16, Laks. Malahayati","Blk. IV2 no [LOC1], [LOC2]. [PER1]",[token-ent],"Blk. IV2 no [token-ent], [token-ent]. [token-ent]",Blk. IV2 no [token-ent],false,false
V15R187,short-address-block-unit,"blok X1 No 23, Sumpah Pemuda",[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R188,short-address-block-unit,"blk. III1 no 58, Jend. A. Yani",blk. III1 [LOC1],[token-ent],blk. III1 [token-ent],blk. III1 [token-ent],false,false
V15R189,short-address-block-unit,"Ruko Blk. VI1 no. 30, Kebon Sirih",[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R190,short-address-block-unit,Perumahan Cikini Raya Blk. VII No. 21,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R191,short-address-block-unit,"Unit 13B, Apartemen Senopati","Unit 13B, [LOC1]",[token-ent],"Unit 13B, [token-ent]","Unit 13B, [token-ent]",false,false
V15R192,short-address-block-unit,Gang Jend. Sudirman Nomor 34,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R193,short-address-block-unit,"blok VB nomor 19, Mas Tirtodarmo Haryono","blok [LOC1], [LOC2] [PER1]",[token-ent],"blok [token-ent], [token-ent] [token-ent]",blok [token-ent],false,false
V15R194,short-address-block-unit,Cluster Setiabudi Blk X2 no. 37,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R195,short-address-block-unit,"blk. VIB No 62, K.H. Wahid Hasyim","blk. VIB No 62, K.[LOC1]",[token-ent],"blk. VIB No 62, K.[token-ent]","blk. VIB No 62, K.[token-ent]",false,false
V15R196,short-address-block-unit,"Unit 15C, Apartemen Urip Sumoharjo","Unit 15C, [LOC1]",[token-ent],"Unit 15C, [token-ent]","Unit 15C, [token-ent]",false,false
V15R197,short-address-block-unit,Perumahan M. H. Thamrin Blk I1 Nomor 62,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R198,short-address-block-unit,Cluster Letjend Suprapto Blok II2 no. 80,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R199,short-address-block-unit,Cluster H. O. S. Cokroaminoto Blk. IIIB no. 58,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R200,short-address-block-unit,"Ruko Blok X1 no. 45, Mohammad Husni Thamrin",[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R201,short-address-answer-formal,Lokasi rumahnya di Cluster Tahi Bonar Simatupang blk VIIIB No. 95.,Lokasi rumahnya di [LOC1].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,true,true
V15R202,short-address-answer-formal,Alamat objeknya Perumahan T. B. Simatupang Blok IXB no. 24.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R203,short-address-answer-formal,Alamat objeknya Gang Jenderal Gatot Subroto Nomor 21.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R204,short-address-answer-formal,Alamat objeknya Komplek Braga blok VIIIA Nomor 20.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R205,short-address-answer-formal,Alamat objeknya gg T. Umar no. 94.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R206,short-address-answer-formal,"Alamat rumahnya di Unit 4A, Apartemen Jend. Gatot Subroto.","Alamat rumahnya di [LOC1], [LOC2].",Alamat rumahnya di [token-ent].,"Alamat rumahnya di [token-ent], [token-ent].",Alamat rumahnya di [token-ent].,false,true
V15R207,short-address-answer-formal,Lokasi rumahnya di Perumahan Haji Agus Salim blk IX no 51.,Lokasi rumahnya di [LOC1].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,true,true
V15R208,short-address-answer-formal,Alamat rumahnya di jl. Hayam Wuruk no. 48.,Alamat rumahnya di [LOC1].,Alamat rumahnya di [token-ent].,Alamat rumahnya di [token-ent].,Alamat rumahnya di [token-ent].,true,true
V15R209,short-address-answer-formal,Alamat objeknya jln Kapten Pierre Tendean No. 3.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R210,short-address-answer-formal,Lokasi rumahnya di Jln Cihampelas No 68.,Lokasi rumahnya di [LOC1].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,true,true
V15R211,short-address-answer-formal,Alamat rumahnya di Gg Laksamana Malahayati no 29.,Alamat rumahnya di [LOC1].,Alamat rumahnya di [token-ent].,Alamat rumahnya di [token-ent].,Alamat rumahnya di [token-ent].,true,true
V15R212,short-address-answer-formal,Alamat objeknya Perumahan Hayam Wuruk blk II Nomor 56.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R213,short-address-answer-formal,Lokasi rumahnya di Perumahan Malioboro blk. II1 no 69.,Lokasi rumahnya di [LOC1].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,true,true
V15R214,short-address-answer-formal,Lokasi rumahnya di Jalan Cipaganti Nomor 77.,Lokasi rumahnya di [LOC1].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,true,true
V15R215,short-address-answer-formal,Lokasi rumahnya di jalan Cibaduyut nomor 98.,Lokasi rumahnya di [LOC1].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,true,true
V15R216,short-address-answer-formal,Rumah yang dibayar ada di Gang Pasirkaliki nomor 38.,Rumah yang dibayar ada di [LOC1].,Rumah yang dibayar ada di [token-ent].,Rumah yang dibayar ada di [token-ent].,Rumah yang dibayar ada di [token-ent].,true,true
V15R217,short-address-answer-formal,Alamat objeknya jl Teuku Umar No 93.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R218,short-address-answer-formal,Lokasi rumahnya di Jln Cikini Raya No 8.,Lokasi rumahnya di [LOC1].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,Lokasi rumahnya di [token-ent].,true,true
V15R219,short-address-answer-formal,Rumah yang dibayar ada di Perumahan Hayam Wuruk blok IB No 35.,Rumah yang dibayar ada di [LOC1].,Rumah yang dibayar ada di [token-ent].,Rumah yang dibayar ada di [token-ent].,Rumah yang dibayar ada di [token-ent].,true,true
V15R220,short-address-answer-formal,Alamat rumahnya di Gang Urip Sumoharjo No 1.,Alamat rumahnya di [LOC1].,Alamat rumahnya di [token-ent].,Alamat rumahnya di [token-ent].,Alamat rumahnya di [token-ent].,true,true
V15R221,short-address-answer-noisy,alamat objknya kavling asia-afrika nomor 61,alamat objknya [LOC1],alamat objknya [token-ent],alamat objknya [token-ent],alamat objknya [token-ent],true,true
V15R222,short-address-answer-noisy,rmh yg dibayar di jalan cihampelas nomor 20,rmh yg dibayar di [LOC1],rmh yg dibayar di [token-ent],rmh yg dibayar di [token-ent],rmh yg dibayar di [token-ent],true,true
V15R223,short-address-answer-noisy,lokasi rmhnya di jalan letnan jenderal suprapto nomor 12,lokasi rmhnya di [LOC1],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],true,true
V15R224,short-address-answer-noisy,"rmh yg mau dibayar di ruko blk. iv2 no. 64, k. h. ahmad dahlan",rmh yg mau dibayar di [LOC1],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],true,true
V15R225,short-address-answer-noisy,rmh yg dibayar di perumahan h. agus salim blk. iiib nomor 52,rmh yg dibayar di [LOC1],rmh yg dibayar di [token-ent],rmh yg dibayar di [token-ent],rmh yg dibayar di [token-ent],true,true
V15R226,short-address-answer-noisy,"rmh yg mau dibayar di unit 18c, apartemen h. o. s. cokroaminoto","rmh yg mau dibayar di [LOC1], [LOC2]",rmh yg mau dibayar di [token-ent],"rmh yg mau dibayar di [token-ent], [token-ent]",rmh yg mau dibayar di [token-ent],false,true
V15R227,short-address-answer-noisy,lokasi rmhnya di gang laksamana malahayati nomor 40,lokasi rmhnya di [LOC1],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],true,true
V15R228,short-address-answer-noisy,lokasi rmhnya di gang u. sumoharjo no 1,lokasi rmhnya di [LOC1],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],true,true
V15R229,short-address-answer-noisy,lokasi rmhnya di gg haji oemar said cokroaminoto no. 26,lokasi rmhnya di [LOC1],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],true,true
V15R230,short-address-answer-noisy,alamat objknya gang laksamana malahayati nomor 60,alamat objknya [LOC1],alamat objknya [token-ent],alamat objknya [token-ent],alamat objknya [token-ent],true,true
V15R231,short-address-answer-noisy,rmh yg mau dibayar di perumahan panglima polim blk iv2 no. 94,rmh yg mau dibayar di [LOC1],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],true,true
V15R232,short-address-answer-noisy,rmh yg mau dibayar di gg. m. t. haryono no. 30,rmh yg mau dibayar di [LOC1],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],true,true
V15R233,short-address-answer-noisy,alamat objknya kavling gajah mada no. 27,alamat objknya [LOC1],alamat objknya [token-ent],alamat objknya [token-ent],alamat objknya [token-ent],true,true
V15R234,short-address-answer-noisy,alamat objknya cluster raden aa. wiranata kusuma blk. x2 nomor 59,alamat objknya [LOC1],alamat objknya [token-ent],alamat objknya [token-ent],alamat objknya [token-ent],true,true
V15R235,short-address-answer-noisy,alamat rmhnya di jalan kemang raya nomor 20,alamat rmhnya di [LOC1],alamat rmhnya di [token-ent],alamat rmhnya di [token-ent],alamat rmhnya di [token-ent],true,true
V15R236,short-address-answer-noisy,"lokasinya di unit 10b, apartemen hayam wuruk","lokasinya di unit [LOC1], [LOC2]",lokasinya di [token-ent],"lokasinya di unit [token-ent], [token-ent]",lokasinya di unit [token-ent],false,false
V15R237,short-address-answer-noisy,alamat objknya gg cikini raya no. 36,alamat objknya [LOC1],alamat objknya [token-ent],alamat objknya [token-ent],alamat objknya [token-ent],true,true
V15R238,short-address-answer-noisy,lokasi rmhnya di jalan laksamana malahayati nomor 78,lokasi rmhnya di [LOC1],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],lokasi rmhnya di [token-ent],true,true
V15R239,short-address-answer-noisy,rmh yg mau dibayar di jln. cihampelas no. 63,rmh yg mau dibayar di [LOC1],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],true,true
V15R240,short-address-answer-noisy,rmh yg mau dibayar di jalan sudirman nomor 70,rmh yg mau dibayar di [LOC1],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],rmh yg mau dibayar di [token-ent],true,true
V15R241,short-address-roadlike,Alamat rumahnya jalan I Gusti Ngurah Rai nomor 45.,Alamat rumahnya [LOC1].,Alamat rumahnya [token-ent].,Alamat rumahnya [token-ent].,Alamat rumahnya [token-ent].,true,true
V15R242,short-address-roadlike,Rumah yang dibayar di Jalan Wage Rudolf Supratman Nomor 54.,Rumah yang dibayar di [LOC1].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,true,true
V15R243,short-address-roadlike,Jalan Kapitan Pattimura Nomor 92,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R244,short-address-roadlike,Lokasi rumahnya jalan Letnan Jenderal Hertasning nomor 41.,Lokasi rumahnya [LOC1].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,true,true
V15R245,short-address-roadlike,Alamat rumahnya Jalan Raden Intan nomor 8.,Alamat rumahnya [LOC1].,Alamat rumahnya [token-ent].,Alamat rumahnya [token-ent].,Alamat rumahnya [token-ent].,true,true
V15R246,short-address-roadlike,Lokasi rumahnya jalan Ignatius Slamet Riyadi nomor 21.,Lokasi rumahnya [LOC1].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,true,true
V15R247,short-address-roadlike,Lokasi rumahnya Gang Ignatius Slamet Riyadi Nomor 97.,Lokasi rumahnya [LOC1].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,true,true
V15R248,short-address-roadlike,Lokasi rumahnya Gang Kolonel Sugiono nomor 44.,Lokasi rumahnya [LOC1].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,true,true
V15R249,short-address-roadlike,Rumah yang dibayar di Jalan Sultan Hasanuddin Nomor 76.,Rumah yang dibayar di [LOC1].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,true,true
V15R250,short-address-roadlike,Alamat objeknya Gang Brigadir Jenderal Katamso Nomor 22.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R251,short-address-roadlike,Jalan Teuku Nyak Arief nomor 32,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R252,short-address-roadlike,Alamat objeknya Gang Mochtar Lubis Nomor 64.,Alamat objeknya [LOC1].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,Alamat objeknya [token-ent].,true,true
V15R253,short-address-roadlike,Alamat rumahnya Gang Mayor Oking nomor 29.,Alamat rumahnya [LOC1].,Alamat rumahnya [token-ent].,Alamat rumahnya [token-ent].,Alamat rumahnya [token-ent].,true,true
V15R254,short-address-roadlike,Rumah yang dibayar di jalan Kyai Haji Mas Mansyur Nomor 41.,Rumah yang dibayar di [LOC1].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,true,true
V15R255,short-address-roadlike,Jalan Pangeran Diponegoro nomor 64,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R256,short-address-roadlike,Lokasi rumahnya Jalan Prof. Dr. Satrio nomor 59.,Lokasi rumahnya [LOC1].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,true,true
V15R257,short-address-roadlike,Lokasi rumahnya jalan Roeslan Abdulgani Nomor 14.,Lokasi rumahnya [LOC1].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,true,true
V15R258,short-address-roadlike,Rumah yang dibayar di jalan Brigadir Jenderal Katamso nomor 1.,Rumah yang dibayar di [LOC1].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,true,true
V15R259,short-address-roadlike,Lokasi rumahnya jalan Raden Ajeng Kartini nomor 93.,Lokasi rumahnya [LOC1].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,Lokasi rumahnya [token-ent].,true,true
V15R260,short-address-roadlike,Rumah yang dibayar di jalan Halim Perdanakusuma nomor 56.,Rumah yang dibayar di [LOC1].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,Rumah yang dibayar di [token-ent].,true,true
V15R261,short-control-transfer-fields,Bank tujuannya Bank Jateng.,Bank tujuannya Bank Jateng.,Bank tujuannya Bank Jateng.,Bank tujuannya Bank Jateng.,Bank tujuannya Bank Jateng.,true,true
V15R262,short-control-transfer-fields,Pakai saldo tabungan.,Pakai saldo tabungan.,Pakai saldo tabungan.,Pakai saldo tabungan.,Pakai saldo tabungan.,true,true
V15R263,short-control-transfer-fields,Nominalnya 250 ribu.,Nominalnya 250 ribu.,Nominalnya 250 ribu.,Nominalnya 250 ribu.,Nominalnya 250 ribu.,true,true
V15R264,short-control-transfer-fields,Nomor rekening tujuannya 7778429412.,Nomor rekening tujuannya 7778429412.,Nomor rekening tujuannya 7778429412.,Nomor rekening tujuannya 7778429412.,Nomor rekening tujuannya 7778429412.,true,true
V15R265,short-control-transfer-fields,Transfernya antarbank.,Transfernya antarbank.,Transfernya antarbank.,Transfernya antarbank.,Transfernya antarbank.,true,true
V15R266,short-control-transfer-fields,Nomor rekening tujuannya 7715384367.,Nomor rekening tujuannya 7715384367.,Nomor rekening tujuannya 7715384367.,Nomor rekening tujuannya 7715384367.,Nomor rekening tujuannya 7715384367.,true,true
V15R267,short-control-transfer-fields,Bank tujuannya Mandiri.,Bank tujuannya Mandiri.,Bank tujuannya Mandiri.,Bank tujuannya Mandiri.,Bank tujuannya Mandiri.,true,true
V15R268,short-control-transfer-fields,Bank tujuannya BNI.,Bank tujuannya BNI.,Bank tujuannya BNI.,Bank tujuannya BNI.,Bank tujuannya BNI.,true,true
V15R269,short-control-transfer-fields,Langsung transfer saja.,Langsung transfer saja.,Langsung transfer saja.,Langsung transfer saja.,Langsung transfer saja.,true,true
V15R270,short-control-transfer-fields,Pakai rekening sumber utama.,Pakai rekening sumber utama.,Pakai rekening sumber utama.,Pakai rekening sumber utama.,Pakai rekening sumber utama.,true,true
V15R271,short-control-transfer-fields,Sumber dananya dari rekening gaji.,Sumber dananya dari rekening gaji.,Sumber dananya dari rekening gaji.,Sumber dananya dari rekening gaji.,Sumber dananya dari rekening gaji.,true,true
V15R272,short-control-transfer-fields,Bank tujuannya Maybank.,Bank tujuannya Maybank.,Bank tujuannya Maybank.,Bank tujuannya Maybank.,Bank tujuannya Maybank.,true,true
V15R273,short-control-transfer-fields,Biaya admin tidak masalah.,Biaya admin tidak masalah.,Biaya admin tidak masalah.,Biaya admin tidak masalah.,Biaya admin tidak masalah.,true,true
V15R274,short-control-transfer-fields,Bank tujuannya Bank DKI.,Bank tujuannya Bank DKI.,Bank tujuannya Bank DKI.,Bank tujuannya Bank DKI.,Bank tujuannya Bank DKI.,true,true
V15R275,short-control-transfer-fields,Transfernya sesama bank.,Transfernya sesama bank.,Transfernya sesama bank.,Transfernya sesama bank.,Transfernya sesama bank.,true,true
V15R276,short-control-transfer-fields,Nominalnya 1 juta.,Nominalnya 1 juta.,Nominalnya 1 juta.,Nominalnya 1 juta.,Nominalnya 1 juta.,true,true
V15R277,short-control-transfer-fields,Nominalnya 750 ribu.,Nominalnya 750 ribu.,Nominalnya 750 ribu.,Nominalnya 750 ribu.,Nominalnya 750 ribu.,true,true
V15R278,short-control-transfer-fields,Bank tujuannya Panin.,Bank tujuannya Panin.,Bank tujuannya Panin.,Bank tujuannya Panin.,Bank tujuannya Panin.,true,true
V15R279,short-control-transfer-fields,Nominalnya 500 ribu.,Nominalnya 500 ribu.,Nominalnya 500 ribu.,Nominalnya 500 ribu.,Nominalnya 500 ribu.,true,true
V15R280,short-control-transfer-fields,Bank tujuannya CIMB Niaga.,Bank tujuannya CIMB Niaga.,Bank tujuannya CIMB Niaga.,Bank tujuannya CIMB Niaga.,Bank tujuannya CIMB Niaga.,true,true
V15R281,short-control-payment-fields,Tagihan listrik bulan ini ya,Tagihan listrik bulan ini ya,Tagihan listrik bulan ini ya,Tagihan listrik bulan ini ya,Tagihan listrik bulan ini ya,true,true
V15R282,short-control-payment-fields,IDPEL-nya 5412125256.,IDPEL-nya 5412125256.,IDPEL-nya 5412125256.,IDPEL-nya 5412125256.,IDPEL-nya 5412125256.,true,true
V15R283,short-control-payment-fields,Tolong bantu bayarkan tagihan listrik,Tolong bantu bayarkan tagihan listrik,Tolong bantu bayarkan tagihan listrik,Tolong bantu bayarkan tagihan listrik,Tolong bantu bayarkan tagihan listrik,true,true
V15R284,short-control-payment-fields,Tolong bayarkan tagian listrik bulan ini,Tolong bayarkan [PER1] listrik bulan ini,Tolong bayarkan tagian listrik bulan ini,Tolong bayarkan [token-ent] listrik bulan ini,Tolong bayarkan [token-ent] listrik bulan ini,false,false
V15R285,short-control-payment-fields,IDPEL-nya 5441675125.,IDPEL-nya 5441675125.,IDPEL-nya 5441675125.,IDPEL-nya 5441675125.,IDPEL-nya 5441675125.,true,true
V15R286,short-control-payment-fields,Pakai saldo tabungan saja untuk pembayaran.,Pakai saldo tabungan saja untuk pembayaran.,Pakai saldo tabungan saja untuk pembayaran.,Pakai saldo tabungan saja untuk pembayaran.,Pakai saldo tabungan saja untuk pembayaran.,true,true
V15R287,short-control-payment-fields,Pakai rekening utama ya untuk bayarnya.,Pakai rekening utama ya untuk bayarnya.,Pakai rekening utama ya untuk bayarnya.,Pakai rekening utama ya untuk bayarnya.,Pakai rekening utama ya untuk bayarnya.,true,true
V15R288,short-control-payment-fields,Bayar tagihan listrik,Bayar tagihan listrik,Bayar tagihan listrik,Bayar tagihan listrik,Bayar tagihan listrik,true,true
V15R289,short-control-payment-fields,Yang dibayar adalah tagihan listrik bulan ini.,Yang dibayar adalah tagihan listrik bulan ini.,Yang dibayar adalah tagihan listrik bulan ini.,Yang dibayar adalah tagihan listrik bulan ini.,Yang dibayar adalah tagihan listrik bulan ini.,true,true
V15R290,short-control-payment-fields,IDPEL-nya 5422395211.,IDPEL-nya 5422395211.,IDPEL-nya 5422395211.,IDPEL-nya 5422395211.,IDPEL-nya 5422395211.,true,true
V15R291,short-control-payment-fields,IDPEL-nya 5425356459.,IDPEL-nya 5425356459.,IDPEL-nya 5425356459.,IDPEL-nya 5425356459.,IDPEL-nya 5425356459.,true,true
V15R292,short-control-payment-fields,ID pelanggan listriknya 5493359836.,ID pelanggan listriknya 5493359836.,ID pelanggan listriknya 5493359836.,ID pelanggan listriknya 5493359836.,ID pelanggan listriknya 5493359836.,true,true
V15R293,short-control-payment-fields,ID pelanggan listriknya 5456970599.,ID pelanggan listriknya 5456970599.,ID pelanggan listriknya 5456970599.,ID pelanggan listriknya 5456970599.,ID pelanggan listriknya 5456970599.,true,true
V15R294,short-control-payment-fields,IDPEL-nya 5495544843.,IDPEL-nya 5495544843.,IDPEL-nya 5495544843.,IDPEL-nya 5495544843.,IDPEL-nya 5495544843.,true,true
V15R295,short-control-payment-fields,IDPEL-nya 5445960009.,IDPEL-nya 5445960009.,IDPEL-nya 5445960009.,IDPEL-nya 5445960009.,IDPEL-nya 5445960009.,true,true
V15R296,short-control-payment-fields,Pembayarannya untuk tagihan bulan ini.,Pembayarannya untuk tagihan bulan ini.,Pembayarannya untuk tagihan bulan ini.,Pembayarannya untuk tagihan bulan ini.,Pembayarannya untuk tagihan bulan ini.,true,true
V15R297,short-control-payment-fields,ID pelanggan listriknya 5441904961.,ID pelanggan listriknya 5441904961.,ID pelanggan listriknya 5441904961.,ID pelanggan listriknya 5441904961.,ID pelanggan listriknya 5441904961.,true,true
V15R298,short-control-payment-fields,IDPEL-nya 5453172340.,IDPEL-nya 5453172340.,IDPEL-nya 5453172340.,IDPEL-nya 5453172340.,IDPEL-nya 5453172340.,true,true
V15R299,short-control-payment-fields,ID pelanggan listriknya 5448977228.,ID pelanggan listriknya 5448977228.,ID pelanggan listriknya 5448977228.,ID pelanggan listriknya 5448977228.,ID pelanggan listriknya 5448977228.,true,true
V15R300,short-control-payment-fields,ID pelanggan listriknya 5469131709.,ID pelanggan listriknya 5469131709.,ID pelanggan listriknya 5469131709.,ID pelanggan listriknya 5469131709.,ID pelanggan listriknya 5469131709.,true,true
V15R301,short-control-noisy,nominal 1jt,nominal 1jt,nominal 1jt,nominal 1jt,nominal 1jt,true,true
V15R302,short-control-noisy,nominal 750rb,nominal 750rb,nominal 750rb,nominal 750rb,nominal 750rb,true,true
V15R303,short-control-noisy,"nominal 1,5jt","nominal 1,5jt","nominal 1,5jt","nominal 1,5jt","nominal 1,5jt",true,true
V15R304,short-control-noisy,ada biaya admin jg gpp,ada biaya admin jg gpp,ada biaya admin jg gpp,ada biaya admin jg gpp,ada biaya admin jg gpp,true,true
V15R305,short-control-noisy,idpel 5499900452,idpel 5499900452,idpel 5499900452,idpel 5499900452,idpel 5499900452,true,true
V15R306,short-control-noisy,tlg byr listrik bln ini,tlg byr listrik bln ini,tlg byr listrik bln ini,tlg byr listrik bln ini,tlg byr listrik bln ini,true,true
V15R307,short-control-noisy,idpel 5450099770,idpel 5450099770,idpel 5450099770,idpel 5450099770,idpel 5450099770,true,true
V15R308,short-control-noisy,pke rek utama,pke rek utama,pke rek utama,pke rek utama,pke rek utama,true,true
